action	file	line	before	after	reason
CHANGED	src/components/AuditLogsClient.tsx	19	"VYRON AI"	"VOLORA AI"	user-visible brand text
CHANGED	src/components/AuditLogsClient.tsx	20	"VYRON AI"	"VOLORA AI"	user-visible brand text
CHANGED	src/components/AuditLogsClient.tsx	21	"VYRON AI"	"VOLORA AI"	user-visible brand text
CHANGED	src/components/AuditLogsClient.tsx	22	"VYRON Admin"	"VOLORA Admin"	user-visible brand text
CHANGED	src/components/AuditLogsClient.tsx	38	"Premium VYRON COST workflow for audit logs."	"Premium VOLORA workflow for audit logs."	user-visible brand text
CHANGED	src/components/autonomous/AutonomousIntelligenceClients.tsx	43	"Ask VYRON"	"Ask VOLORA"	user-visible brand text
CHANGED	src/components/autonomous/AutonomousIntelligenceClients.tsx	66	"VYRON Autonomous Command Centre"	"VOLORA Autonomous Command Centre"	user-visible brand text
CHANGED	src/components/autonomous/AutonomousIntelligenceClients.tsx	78	Live autonomous score across all VYRON COST domains	Live autonomous score across all VOLORA domains	user-visible brand text
CHANGED	src/components/autonomous/AutonomousIntelligenceClients.tsx	320	"Domain summaries, live signals and explainable business knowledge across VYRON COST."	"Domain summaries, live signals and explainable business knowledge across VOLORA."	user-visible brand text
CHANGED	src/components/autonomous/AutonomousIntelligenceClients.tsx	480	"Ask VYRON — Autonomous Copilot"	"Ask VOLORA — Autonomous Copilot"	user-visible brand text
CHANGED	src/components/autonomous/AutonomousIntelligenceClients.tsx	504	Ask VYRON	Ask VOLORA	user-visible brand text
CHANGED	src/components/autonomous/AutonomousPremiumShell.tsx	14	"Signals link to the VYRON COST pages where work gets done."	"Signals link to the VOLORA pages where work gets done."	user-visible brand text
CHANGED	src/components/BackOrdersClient.tsx	105	"Premium VYRON COST workflow for back orders."	"Premium VOLORA workflow for back orders."	user-visible brand text
CHANGED	src/components/BoardPackCentreClient.tsx	10	"VYRON COST BOARD PACK"	"VOLORA BOARD PACK"	user-visible brand text
CHANGED	src/components/BoardPackCentreClient.tsx	32	"Premium VYRON COST workflow for board pack centre."	"Premium VOLORA workflow for board pack centre."	user-visible brand text
CHANGED	src/components/BomBuilderClient.tsx	833	Set selling price and target GP — VYRON calculates actual GP and suggested price from your lines.                 	Set selling price and target GP — VOLORA calculates actual GP and suggested price from your lines.                 	user-visible brand text
CHANGED	src/components/BranchIntelligenceClient.tsx	43	"Premium VYRON COST workflow for branch intelligence."	"Premium VOLORA workflow for branch intelligence."	user-visible brand text
CHANGED	src/components/BranchManagerClient.tsx	99	"Premium VYRON COST workflow for branch manager."	"Premium VOLORA workflow for branch manager."	user-visible brand text
CHANGED	src/components/BranchPerformanceClient.tsx	15	"Premium VYRON COST workflow for branch performance."	"Premium VOLORA workflow for branch performance."	user-visible brand text
CHANGED	src/components/BulkImportCentreClient.tsx	33	"Premium VYRON COST workflow for bulk import centre."	"Premium VOLORA workflow for bulk import centre."	user-visible brand text
CHANGED	src/components/ClientBrandLockup.tsx	32	"VYRON COST"	"VOLORA"	user-visible brand text
CHANGED	src/components/ClientBrandLockup.tsx	64	VYRON COST	VOLORA	user-visible brand text
CHANGED	src/components/ClientOnboardingWizardClient.tsx	36	"Premium VYRON COST workflow for client onboarding wizard."	"Premium VOLORA workflow for client onboarding wizard."	user-visible brand text
CHANGED	src/components/ClientProposalStudioClient.tsx	10	"VYRON COST — Handcrafted Foods Proposal"	"VOLORA — Handcrafted Foods Proposal"	user-visible brand text
CHANGED	src/components/ClientProposalStudioClient.tsx	34	"Premium VYRON COST workflow for client proposal studio."	"Premium VOLORA workflow for client proposal studio."	user-visible brand text
CHANGED	src/components/ClientProposalStudioClient.tsx	42	VYRON COST will help Handcrafted Foods identify product margin leakage, supplier price movement, invoice risk and recoverable profit.	VOLORA will help Handcrafted Foods identify product margin leakage, supplier price movement, invoice risk and recoverable profit.	user-visible brand text
CHANGED	src/components/ClientTaskCentreClient.tsx	42	"Premium VYRON COST workflow for client task centre."	"Premium VOLORA workflow for client task centre."	user-visible brand text
CHANGED	src/components/ClientWorkspaceTopBar.tsx	65	Return to VYRON DEV           	Return to VOLORA DEV           	user-visible brand text
CHANGED	src/components/CommercialLaunchCentreClient.tsx	24	"Premium VYRON COST workflow for commercial launch centre."	"Premium VOLORA workflow for commercial launch centre."	user-visible brand text
CHANGED	src/components/CostingLineEditPageClient.tsx	89	"Premium VYRON COST workflow for costing line edit page."	"Premium VOLORA workflow for costing line edit page."	user-visible brand text
CHANGED	src/components/CustomerPricingImpactClient.tsx	31	"Premium VYRON COST workflow for customer pricing impact."	"Premium VOLORA workflow for customer pricing impact."	user-visible brand text
CHANGED	src/components/DashboardPremiumClient.tsx	74	VYRON COST 	VOLORA 	user-visible brand text
CHANGED	src/components/DemoReadinessClient.tsx	34	"Premium VYRON COST workflow for demo readiness."	"Premium VOLORA workflow for demo readiness."	user-visible brand text
CHANGED	src/components/DemoSampleBanner.tsx	33	VYRON COST	VOLORA	user-visible brand text
CHANGED	src/components/DemoScriptCentreClient.tsx	31	"Premium VYRON COST workflow for demo script centre."	"Premium VOLORA workflow for demo script centre."	user-visible brand text
CHANGED	src/components/DocumentHubdocClient.tsx	819	Supplier invoices emailed to VYRON COST appear in the email intake queue for upload and extraction.             	Supplier invoices emailed to VOLORA appear in the email intake queue for upload and extraction.             	user-visible brand text
CHANGED	src/components/DocumentIntelligenceClient.tsx	80	VYRON COST Document Intelligence	VOLORA Document Intelligence	user-visible brand text
CHANGED	src/components/DocumentIntelligenceClient.tsx	82	Email invoices and purchase orders directly to VYRON COST and let AI extract, match and flag risks. Upload PDF or           image files now; email inbox intake 	Email invoices and purchase orders directly to VOLORA and let AI extract, match and flag risks. Upload PDF or           image files now; email inbox intake is c	user-visible brand text
CHANGED	src/components/EmailInvoiceInboxClient.tsx	103	Supplier invoices emailed to VYRON COST are queued here. Upload attachments to run extraction, supplier           matching, and approval in Document Intelligenc	Supplier invoices emailed to VOLORA are queued here. Upload attachments to run extraction, supplier           matching, and approval in Document Intelligence.  	user-visible brand text
CHANGED	src/components/enterprise/ApprovalMatrixClient.tsx	25	"Premium VYRON COST workflow for approval matrix."	"Premium VOLORA workflow for approval matrix."	user-visible brand text
CHANGED	src/components/enterprise/AuditorWorkspaceClient.tsx	39	"Premium VYRON COST workflow for auditor workspace."	"Premium VOLORA workflow for auditor workspace."	user-visible brand text
CHANGED	src/components/enterprise/BudgetDashboardClient.tsx	21	"Premium VYRON COST workflow for budget dashboard."	"Premium VOLORA workflow for budget dashboard."	user-visible brand text
CHANGED	src/components/enterprise/ComplianceCentreClient.tsx	14	"Premium VYRON COST workflow for compliance centre."	"Premium VOLORA workflow for compliance centre."	user-visible brand text
CHANGED	src/components/enterprise/ContractsClient.tsx	16	"Premium VYRON COST workflow for contracts."	"Premium VOLORA workflow for contracts."	user-visible brand text
CHANGED	src/components/enterprise/EnterpriseForecastClient.tsx	22	"Premium VYRON COST workflow for enterprise forecast."	"Premium VOLORA workflow for enterprise forecast."	user-visible brand text
CHANGED	src/components/enterprise/FraudDetectionClient.tsx	24	"Premium VYRON COST workflow for fraud detection."	"Premium VOLORA workflow for fraud detection."	user-visible brand text
CHANGED	src/components/enterprise/RiskCentreClient.tsx	19	"Premium VYRON COST workflow for risk centre."	"Premium VOLORA workflow for risk centre."	user-visible brand text
CHANGED	src/components/enterprise/RolePermissionMatrixClient.tsx	14	"Premium VYRON COST workflow for role permission matrix."	"Premium VOLORA workflow for role permission matrix."	user-visible brand text
CHANGED	src/components/enterprise/ScenarioModellingClient.tsx	35	"Premium VYRON COST workflow for scenario modelling."	"Premium VOLORA workflow for scenario modelling."	user-visible brand text
CHANGED	src/components/enterprise/VyronAcademyClient.tsx	30	"Vyron Academy"	"VOLORA Academy"	user-visible brand text
CHANGED	src/components/enterprise/VyronAcademyClient.tsx	31	"Premium VYRON COST workflow for vyron academy."	"Premium VOLORA workflow for vyron academy."	user-visible brand text
CHANGED	src/components/enterprise-platform/EnterprisePlatformClients.tsx	405	VYRON Enterprise AI	VOLORA Enterprise AI	user-visible brand text
CHANGED	src/components/executive/AskVyronClient.tsx	184	"Could not load intelligence sources for Ask VYRON."	"Could not load intelligence sources for Ask VOLORA."	user-visible brand text
CHANGED	src/components/executive/AskVyronClient.tsx	236	"Ask VYRON request failed."	"Ask VOLORA request failed."	user-visible brand text
CHANGED	src/components/executive/AskVyronClient.tsx	250	"Ask VYRON request failed."	"Ask VOLORA request failed."	user-visible brand text
CHANGED	src/components/executive/AskVyronClient.tsx	277	VYRON Intelligence Assistant               	VOLORA Intelligence Assistant               	user-visible brand text
CHANGED	src/components/executive/AskVyronClient.tsx	279	Ask VYRON	Ask VOLORA	user-visible brand text
CHANGED	src/components/executive/AskVyronClient.tsx	329	Ask VYRON answers from the active company workspace only. Log in to a company workspace or select a client             from Developer → Clients.           	Ask VOLORA answers from the active company workspace only. Log in to a company workspace or select a client             from Developer → Clients.           	user-visible brand text
CHANGED	src/components/executive/AskVyronClient.tsx	363	"Ask VYRON"	"Ask VOLORA"	user-visible brand text
CHANGED	src/components/executive/AskVyronClient.tsx	494	Modules Ask VYRON can currently read from this workspace.             	Modules Ask VOLORA can currently read from this workspace.             	user-visible brand text
CHANGED	src/components/executive/AskVyronClient.tsx	534	Ask VYRON currently answers from available workspace intelligence only. It does not invent values and does               not execute actions without approval. T	Ask VOLORA currently answers from available workspace intelligence only. It does not invent values and does               not execute actions without approval. 	user-visible brand text
CHANGED	src/components/executive/AskVyronClient.tsx	543	VYRON needs more operational data to answer this properly.               	VOLORA needs more operational data to answer this properly.               	user-visible brand text
CHANGED	src/components/executive/AutonomousCommandCentreClient.tsx	517	"Ask VYRON"	"Ask VOLORA"	user-visible brand text
CHANGED	src/components/executive/BusinessHealthCentreClient.tsx	222	Load operational data so VYRON COST can score financial, cost, inventory, procurement, production and             customer health from real records.           	Load operational data so VOLORA can score financial, cost, inventory, procurement, production and             customer health from real records.           	user-visible brand text
CHANGED	src/components/executive/EarlyWarningCentreClient.tsx	267	Load operational data so VYRON COST can detect margin, supplier, inventory, procurement, manufacturing,             customer and Xero risks.           	Load operational data so VOLORA can detect margin, supplier, inventory, procurement, manufacturing,             customer and Xero risks.           	user-visible brand text
CHANGED	src/components/executive/EarlyWarningCentreClient.tsx	324	VYRON is monitoring:	VOLORA is monitoring:	user-visible brand text
CHANGED	src/components/executive/ExecutionCentreClient.tsx	651	"Ask VYRON"	"Ask VOLORA"	user-visible brand text
CHANGED	src/components/executive/ExecutiveBoardroomClient.tsx	369	Connect products, suppliers, procurement, inventory and invoices so VYRON COST can build executive signals.           	Connect products, suppliers, procurement, inventory and invoices so VOLORA can build executive signals.           	user-visible brand text
CHANGED	src/components/ExecutiveCommandCentreClient.tsx	72	"Premium VYRON COST workflow for executive command centre."	"Premium VOLORA workflow for executive command centre."	user-visible brand text
CHANGED	src/components/ExecutiveCommandCentreClient.tsx	101	VYRON COST	VOLORA	user-visible brand text
CHANGED	src/components/ExecutiveDashboardClient.tsx	119	"VYRON COST"	"VOLORA"	user-visible brand text
CHANGED	src/components/ExecutiveDashboardClient.tsx	477	VYRON has detected 	VOLORA has detected 	user-visible brand text
CHANGED	src/components/ExecutiveReportingClient.tsx	95	"How VYRON packages evidence"	"How VOLORA packages evidence"	user-visible brand text
CHANGED	src/components/FinalDemoChecklistClient.tsx	31	"Premium VYRON COST workflow for final demo checklist."	"Premium VOLORA workflow for final demo checklist."	user-visible brand text
CHANGED	src/components/FinanceIntelligenceClient.tsx	42	"Premium VYRON COST workflow for finance intelligence."	"Premium VOLORA workflow for finance intelligence."	user-visible brand text
CHANGED	src/components/ForecastScenarioSimulatorClient.tsx	40	"Premium VYRON COST workflow for forecast scenario simulator."	"Premium VOLORA workflow for forecast scenario simulator."	user-visible brand text
CHANGED	src/components/GoLiveCommandCentreClient.tsx	37	"Premium VYRON COST workflow for go live command centre."	"Premium VOLORA workflow for go live command centre."	user-visible brand text
CHANGED	src/components/GoodsReceiptDashboardClient.tsx	68	"VYRON COST GRN summary"	"VOLORA GRN summary"	user-visible brand text
CHANGED	src/components/GPRecoveryPlannerClient.tsx	28	"Premium VYRON COST workflow for gprecovery planner."	"Premium VOLORA workflow for gprecovery planner."	user-visible brand text
CHANGED	src/components/ImplementationTimelineClient.tsx	17	"Premium VYRON COST workflow for implementation timeline."	"Premium VOLORA workflow for implementation timeline."	user-visible brand text
CHANGED	src/components/IngredientEditPageClient.tsx	148	"Premium VYRON COST workflow for ingredient edit page."	"Premium VOLORA workflow for ingredient edit page."	user-visible brand text
CHANGED	src/components/IngredientImpactClient.tsx	49	"Premium VYRON COST workflow for ingredient impact."	"Premium VOLORA workflow for ingredient impact."	user-visible brand text
CHANGED	src/components/IngredientManagerClient.tsx	376	No ingredients yet. Start by adding ingredients, linking suppliers, then build BOMs so VYRON can protect your product margins.               	No ingredients yet. Start by adding ingredients, linking suppliers, then build BOMs so VOLORA can protect your product margins.               	user-visible brand text
CHANGED	src/components/IngredientPriceWatchClient.tsx	33	"Premium VYRON COST workflow for ingredient price watch."	"Premium VOLORA workflow for ingredient price watch."	user-visible brand text
CHANGED	src/components/IngredientRegisterClient.tsx	175	"Premium VYRON COST workflow for ingredient register."	"Premium VOLORA workflow for ingredient register."	user-visible brand text
CHANGED	src/components/InventoryStockListClient.tsx	185	"How VYRON values stock"	"How VOLORA values stock"	user-visible brand text
CHANGED	src/components/InvoiceAiCentreClient.tsx	49	"Premium VYRON COST workflow for invoice ai centre."	"Premium VOLORA workflow for invoice ai centre."	user-visible brand text
CHANGED	src/components/InvoiceExceptionCentreClient.tsx	17	"Premium VYRON COST workflow for invoice exception centre."	"Premium VOLORA workflow for invoice exception centre."	user-visible brand text
CHANGED	src/components/InvoiceForensicsClient.tsx	51	"Premium VYRON COST workflow for invoice forensics."	"Premium VOLORA workflow for invoice forensics."	user-visible brand text
CHANGED	src/components/InvoiceProcessingQueueClient.tsx	78	"Premium VYRON COST workflow for invoice processing queue."	"Premium VOLORA workflow for invoice processing queue."	user-visible brand text
CHANGED	src/components/MarginBridgeClient.tsx	27	"Premium VYRON COST workflow for margin bridge."	"Premium VOLORA workflow for margin bridge."	user-visible brand text
CHANGED	src/components/MarketReadinessDashboardClient.tsx	21	"Premium VYRON COST workflow for market readiness dashboard."	"Premium VOLORA workflow for market readiness dashboard."	user-visible brand text
CHANGED	src/components/MarketReadinessDashboardClient.tsx	39	VYRON COST is positioned as an AI Profit Recovery & Cost Intelligence Platform for food manufacturers, not just a costing calculator.               	VOLORA is positioned as an AI Profit Recovery & Cost Intelligence Platform for food manufacturers, not just a costing calculator.               	user-visible brand text
CHANGED	src/components/PlaceholderPage.tsx	11	} module is currently under development inside the VYRON COST platform.`	} module is currently under development inside the VOLORA platform.`	user-visible brand text
CHANGED	src/components/PlaceholderPage.tsx	19	This module will become part of the VYRON COST enterprise profit intelligence ecosystem.         	This module will become part of the VOLORA enterprise profit intelligence ecosystem.         	user-visible brand text
CHANGED	src/components/PricingApprovalCentreClient.tsx	43	"Premium VYRON COST workflow for pricing approval centre."	"Premium VOLORA workflow for pricing approval centre."	user-visible brand text
CHANGED	src/components/ProcurementPoDetailClient.tsx	130	VYRON COST principle	VOLORA principle	user-visible brand text
CHANGED	src/components/ProcurementPoFormClient.tsx	196	VYRON COST principle	VOLORA principle	user-visible brand text
CHANGED	src/components/ProcurementRecommendationDetailClient.tsx	121	"Premium VYRON COST workflow for procurement recommendation detail."	"Premium VOLORA workflow for procurement recommendation detail."	user-visible brand text
CHANGED	src/components/ProductBomPanelClient.tsx	54	"Premium VYRON COST workflow for product bom panel."	"Premium VOLORA workflow for product bom panel."	user-visible brand text
CHANGED	src/components/ProductCostLineEditPageClient.tsx	147	"Premium VYRON COST workflow for product cost line edit page."	"Premium VOLORA workflow for product cost line edit page."	user-visible brand text
CHANGED	src/components/ProductEditPageClient.tsx	326	Define the commercial product, selling price and costing assumptions used by VYRON COST.                 	Define the commercial product, selling price and costing assumptions used by VOLORA.                 	user-visible brand text
CHANGED	src/components/ProductEditPageClient.tsx	397	How VYRON Calculates GP	How VOLORA Calculates GP	user-visible brand text
